,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_flights,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE_airlines,AIRPORT_OriginAirport,CITY_OriginAirport,STATE_OriginAirport,COUNTRY_OriginAirport,LATITUDE_OriginAirport,LONGITUDE_OriginAirport,AIRPORT_DestinationAirport,CITY_DestinationAirport,STATE_DestinationAirport,COUNTRY_DestinationAirport,LATITUDE_DestinationAirport,LONGITUDE_DestinationAirport
1061085,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-11 00:00:00,3,US,852,N733UW,BNA,CLT,625,627.0,2.0,18.0,645.0,78.0,82.0,50.0,328,835.0,14.0,843,849.0,6.0,0,0,,,,,,,US Airways Inc.,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313
2854591,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-28 00:00:00,7,DL,1657,N584NW,ATL,FLL,2100,2118.0,18.0,19.0,2137.0,111.0,113.0,90.0,581,2307.0,4.0,2251,2311.0,20.0,0,0,,2.0,0.0,0.0,18.0,0.0,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275
4889499,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-02 00:00:00,1,AA,1469,N501AA,DFW,DAY,710,705.0,-5.0,34.0,739.0,142.0,146.0,108.0,861,1027.0,4.0,1032,1031.0,-1.0,0,0,,,,,,,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938
4392319,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-01 00:00:00,4,AA,2053,N540UW,11057,15304,1140,1145.0,5.0,25.0,1210.0,105.0,112.0,81.0,507,1331.0,6.0,1325,1337.0,12.0,0,0,,,,,,,American Airlines Inc.,,,,,,,,,,,,
1655718,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-16 00:00:00,4,WN,2940,N394SW,ISP,BWI,1440,1505.0,25.0,14.0,1519.0,75.0,70.0,52.0,220,1611.0,4.0,1555,1615.0,20.0,0,0,,0.0,0.0,2.0,18.0,0.0,Southwest Airlines Co.,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
428366,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-29 00:00:00,4,AS,637,N464AS,PHX,SEA,800,738.0,-22.0,9.0,747.0,184.0,160.0,145.0,1107,912.0,6.0,1004,918.0,-46.0,0,0,,,,,,,Alaska Airlines Inc.,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
195926,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-13 00:00:00,2,EV,4242,N14162,CRW,IAH,1647,1646.0,-1.0,5.0,1651.0,180.0,160.0,147.0,975,1818.0,8.0,1847,1826.0,-21.0,0,0,,,,,,,Atlantic Southeast Airlines,Yeager Airport,Charleston,WV,USA,38.37315,-81.59319,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
171839,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-12 00:00:00,1,DL,2177,N830DN,ATL,SEA,810,810.0,0.0,15.0,825.0,339.0,299.0,278.0,2182,1003.0,6.0,1049,1009.0,-40.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
3253862,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-22 00:00:00,3,B6,347,N827JB,OAK,LGB,1900,1904.0,4.0,11.0,1915.0,78.0,75.0,61.0,353,2016.0,3.0,2018,2019.0,1.0,0,0,,,,,,,JetBlue Airways,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161
2215207,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-21 00:00:00,4,AA,1685,N541AA,DFW,SLC,816,835.0,19.0,17.0,852.0,165.0,163.0,137.0,989,1009.0,9.0,1001,1018.0,17.0,0,0,,0.0,0.0,0.0,17.0,0.0,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
2962855,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-05 00:00:00,7,EV,4302,N13908,CLE,DCA,1708,1702.0,-6.0,11.0,1713.0,81.0,72.0,56.0,310,1809.0,5.0,1829,1814.0,-15.0,0,0,,,,,,,Atlantic Southeast Airlines,Cleveland Hopkins International Airport,Cleveland,OH,USA,41.41089,-81.8494,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
117662,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-08 00:00:00,4,OO,4643,N453SW,LAN,MSP,1305,1314.0,9.0,13.0,1327.0,98.0,134.0,110.0,455,1417.0,11.0,1343,1428.0,45.0,0,0,,36.0,0.0,0.0,9.0,0.0,Skywest Airlines Inc.,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
5661874,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-21 00:00:00,1,WN,3182,N8314L,DCA,AUS,1700,1704.0,4.0,18.0,1722.0,230.0,225.0,202.0,1315,1944.0,5.0,1950,1949.0,-1.0,0,0,,,,,,,Southwest Airlines Co.,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987
4726201,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-22 00:00:00,4,UA,1878,N33289,11618,15304,1255,1252.0,-3.0,15.0,1307.0,175.0,154.0,133.0,997,1520.0,6.0,1550,1526.0,-24.0,0,0,,,,,,,United Air Lines Inc.,,,,,,,,,,,,
5287996,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-27 00:00:00,5,MQ,3199,N689MQ,ORD,ALO,2007,2005.0,-2.0,20.0,2025.0,73.0,75.0,47.0,234,2112.0,8.0,2120,2120.0,0.0,0,0,,,,,,,American Eagle Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034
5498200,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-11 00:00:00,5,AA,2250,N873AA,DFW,LAX,825,821.0,-4.0,12.0,833.0,204.0,203.0,180.0,1235,933.0,11.0,949,944.0,-5.0,0,0,,,,,,,American Airlines Inc.,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
2039138,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-10 00:00:00,7,OO,5659,N929EV,ISN,DEN,1319,1436.0,77.0,13.0,1449.0,116.0,98.0,81.0,576,1510.0,4.0,1415,1514.0,59.0,0,0,,0.0,0.0,0.0,59.0,0.0,Skywest Airlines Inc.,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,Denver International Airport,Denver,CO,USA,39.85841,-104.667
5655424,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-21 00:00:00,1,WN,1067,N263WN,ATL,TPA,1015,1014.0,-1.0,13.0,1027.0,95.0,80.0,63.0,406,1130.0,4.0,1150,1134.0,-16.0,0,0,,,,,,,Southwest Airlines Co.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
4505320,2015-01-01 00:00:00,1900-01-01 00:10:00,1900-01-08 00:00:00,4,WN,3228,N784SW,13296,10821,1355,1352.0,-3.0,11.0,1403.0,90.0,79.0,65.0,377,1508.0,3.0,1525,1511.0,-14.0,0,0,,,,,,,Southwest Airlines Co.,,,,,,,,,,,,
5501626,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-11 00:00:00,5,OO,4609,N187PQ,IAH,SLC,1150,1148.0,-2.0,15.0,1203.0,204.0,178.0,159.0,1195,1342.0,4.0,1414,1346.0,-28.0,0,0,,,,,,,Skywest Airlines Inc.,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
112613,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-08 00:00:00,4,WN,4476,N624SW,PIT,TPA,805,801.0,-4.0,19.0,820.0,165.0,144.0,119.0,873,1019.0,6.0,1050,1025.0,-25.0,0,0,,,,,,,Southwest Airlines Co.,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
2885118,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-30 00:00:00,2,AS,163,N713AS,AKN,ANC,1725,1711.0,-14.0,2.0,1713.0,55.0,58.0,52.0,288,1805.0,4.0,1820,1809.0,-11.0,0,0,,,,,,,Alaska Airlines Inc.,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
5240804,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-24 00:00:00,2,EV,4639,N12924,IAH,CAE,1257,1247.0,-10.0,16.0,1303.0,135.0,130.0,105.0,878,1548.0,9.0,1612,1557.0,-15.0,0,0,,,,,,,Atlantic Southeast Airlines,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954
5445326,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-07 00:00:00,1,DL,1198,N909DE,RIC,ATL,1925,1915.0,-10.0,20.0,1935.0,113.0,99.0,75.0,481,2050.0,4.0,2118,2054.0,-24.0,0,0,,,,,,,Delta Air Lines Inc.,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
3489353,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-05 00:00:00,3,DL,1819,N360NB,ATL,LIT,1725,1724.0,-1.0,41.0,1805.0,98.0,114.0,67.0,453,1812.0,6.0,1803,1818.0,15.0,0,0,,15.0,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425
2067145,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-12 00:00:00,2,OO,4491,N604SK,SEA,BOI,740,731.0,-9.0,22.0,753.0,87.0,87.0,62.0,399,955.0,3.0,1007,958.0,-9.0,0,0,,,,,,,Skywest Airlines Inc.,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278
3050660,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-10 00:00:00,5,UA,558,N832UA,SMF,DEN,1757,1753.0,-4.0,12.0,1805.0,149.0,135.0,117.0,909,2102.0,6.0,2126,2108.0,-18.0,0,0,,,,,,,United Air Lines Inc.,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,Denver International Airport,Denver,CO,USA,39.85841,-104.667
3081756,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-12 00:00:00,7,AA,67,N3FDAA,JFK,AUS,1729,1734.0,5.0,27.0,1801.0,255.0,237.0,201.0,1521,2022.0,9.0,2044,2031.0,-13.0,0,0,,,,,,,American Airlines Inc.,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987
5093428,2015-01-01 00:00:00,1900-01-01 00:11:00,1900-01-15 00:00:00,7,WN,472,N401WN,AUS,ATL,605,606.0,1.0,10.0,616.0,130.0,117.0,102.0,813,858.0,5.0,915,903.0,-12.0,0,0,,,,,,,Southwest Airlines Co.,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
1331965,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-27 00:00:00,5,US,2017,N127UW,CLT,JFK,1420,1416.0,-4.0,13.0,1429.0,105.0,103.0,81.0,541,1550.0,9.0,1605,1559.0,-6.0,0,0,,,,,,,US Airways Inc.,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
5795797,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-30 00:00:00,3,AS,91,N788AS,SEA,ANC,1120,1119.0,-1.0,16.0,1135.0,234.0,212.0,191.0,1448,1346.0,5.0,1414,1351.0,-23.0,0,0,,,,,,,Alaska Airlines Inc.,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
3748654,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-21 00:00:00,5,DL,583,N324US,LGA,DTW,900,900.0,0.0,35.0,935.0,130.0,116.0,77.0,502,1052.0,4.0,1110,1056.0,-14.0,0,0,,,,,,,Delta Air Lines Inc.,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
1218264,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-20 00:00:00,5,MQ,3295,N818MQ,JFK,RDU,1505,1458.0,-7.0,46.0,1544.0,115.0,121.0,72.0,427,1656.0,3.0,1700,1659.0,-1.0,0,0,,,,,,,American Eagle Airlines Inc.,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747
969441,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-05 00:00:00,4,OO,5539,N915SW,SLC,SFO,1132,1128.0,-4.0,21.0,1149.0,133.0,117.0,93.0,599,1222.0,3.0,1245,1225.0,-20.0,0,0,,,,,,,Skywest Airlines Inc.,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
687743,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-15 00:00:00,7,WN,3957,N713SW,SEA,SMF,1315,1327.0,12.0,13.0,1340.0,105.0,94.0,77.0,605,1457.0,4.0,1500,1501.0,1.0,0,0,,,,,,,Southwest Airlines Co.,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077
887936,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-28 00:00:00,6,AS,60,N767AS,JNU,KTN,725,707.0,-18.0,10.0,717.0,63.0,53.0,40.0,234,757.0,3.0,828,800.0,-28.0,0,0,,,,,,,Alaska Airlines Inc.,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374
956817,2015-01-01 00:00:00,1900-01-01 00:03:00,1900-01-04 00:00:00,3,OO,5247,N751SK,LAX,BOI,1522,1528.0,6.0,18.0,1546.0,123.0,124.0,102.0,674,1828.0,4.0,1825,1832.0,7.0,0,0,,,,,,,Skywest Airlines Inc.,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278
1830930,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-27 00:00:00,1,AS,812,N536AS,OGG,SJC,1350,1350.0,0.0,10.0,1400.0,300.0,279.0,265.0,2355,2125.0,4.0,2150,2129.0,-21.0,0,0,,,,,,,Alaska Airlines Inc.,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901
3428378,2015-01-01 00:00:00,1900-01-01 00:08:00,1900-01-02 00:00:00,7,WN,645,N277WN,MDW,DCA,835,833.0,-2.0,10.0,843.0,110.0,98.0,82.0,601,1105.0,6.0,1125,1111.0,-14.0,0,0,,,,,,,Southwest Airlines Co.,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
1721567,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-20 00:00:00,1,EV,5602,N979EV,LFT,ATL,1723,1901.0,98.0,14.0,1915.0,97.0,87.0,66.0,503,2121.0,7.0,2000,2128.0,88.0,0,0,,0.0,0.0,0.0,88.0,0.0,Atlantic Southeast Airlines,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
2403690,2015-01-01 00:00:00,1900-01-01 00:06:00,1900-01-02 00:00:00,2,DL,2526,N375DA,BZN,SLC,620,616.0,-4.0,10.0,626.0,72.0,64.0,50.0,347,716.0,4.0,732,720.0,-12.0,0,0,,,,,,,Delta Air Lines Inc.,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
100282,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-07 00:00:00,3,WN,203,N232WN,DAL,ATL,1125,1132.0,7.0,7.0,1139.0,120.0,109.0,92.0,721,1411.0,10.0,1425,1421.0,-4.0,0,0,,,,,,,Southwest Airlines Co.,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
840855,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-25 00:00:00,3,UA,1678,N12218,SAT,DEN,856,847.0,-9.0,9.0,856.0,144.0,141.0,110.0,794,946.0,22.0,1020,1008.0,-12.0,0,0,,,,,,,United Air Lines Inc.,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,Denver International Airport,Denver,CO,USA,39.85841,-104.667
1899418,2015-01-01 00:00:00,1900-01-01 00:05:00,1900-01-01 00:00:00,5,WN,1528,N604SW,BWI,RSW,1545,1550.0,5.0,11.0,1601.0,155.0,144.0,129.0,919,1810.0,4.0,1820,1814.0,-6.0,0,0,,,,,,,Southwest Airlines Co.,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517
34240,2015-01-01 00:00:00,1900-01-01 00:01:00,1900-01-03 00:00:00,6,AA,323,N4XDAA,STL,DFW,900,858.0,-2.0,28.0,926.0,115.0,134.0,99.0,550,1105.0,7.0,1055,1112.0,17.0,0,0,,17.0,0.0,0.0,0.0,0.0,American Airlines Inc.,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
4173251,2015-01-01 00:00:00,1900-01-01 00:09:00,1900-01-17 00:00:00,4,DL,2465,N962DL,ATL,BDL,1215,1212.0,-3.0,12.0,1224.0,141.0,123.0,107.0,859,1411.0,4.0,1436,1415.0,-21.0,0,0,,,,,,,Delta Air Lines Inc.,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323
630022,2015-01-01 00:00:00,1900-01-01 00:02:00,1900-01-11 00:00:00,3,DL,1363,N914DE,TUL,ATL,1534,1529.0,-5.0,9.0,1538.0,111.0,97.0,83.0,674,1801.0,5.0,1825,1806.0,-19.0,0,0,,,,,,,Delta Air Lines Inc.,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
1663770,2015-01-01 00:00:00,1900-01-01 00:04:00,1900-01-17 00:00:00,5,HA,202,N481HA,HNL,ITO,606,600.0,-6.0,13.0,613.0,50.0,56.0,37.0,216,650.0,6.0,656,656.0,0.0,0,0,,,,,,,Hawaiian Airlines Inc.,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847
5514852,2015-01-01 00:00:00,1900-01-01 00:12:00,1900-01-12 00:00:00,6,AA,1312,N3HCAA,ORD,PHX,935,929.0,-6.0,11.0,940.0,241.0,222.0,205.0,1440,1205.0,6.0,1236,1211.0,-25.0,0,0,,,,,,,American Airlines Inc.,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
2991947,2015-01-01 00:00:00,1900-01-01 00:07:00,1900-01-07 00:00:00,2,UA,1567,N57863,IAH,LAX,1125,1400.0,155.0,14.0,1414.0,205.0,196.0,174.0,1379,1508.0,8.0,1250,1516.0,146.0,0,0,,5.0,0.0,0.0,141.0,0.0,United Air Lines Inc.,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
