,Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
16,Mountain High,California,8200,1600,0,0,0,2,2,2,5,3,14,59,1,2,290,275,118,95,108,84,84,150,73,0
17,Mt. Baldy,California,8600,2100,0,0,0,0,0,0,4,0,4,26,0,2,400,80,175,67,178,69,69,200,0,0
18,Northstar California,California,8610,2280,2,0,1,7,1,2,0,7,20,100,9,1,3170,1500,135,47,350,85,90,150,0,0
19,Sierra-at-Tahoe,California,8852,2212,0,0,0,3,0,1,5,5,14,46,6,2,2000,200,160,73,460,99,90,144,0,0
20,Ski China Peak,California,8709,1679,0,0,0,0,1,4,2,4,11,45,1,2,1400,150,140,62,300,83,83,144,0,0
21,Snow Summit,California,8200,1200,0,0,0,2,0,4,5,5,16,27,6,1,240,240,130,67,100,85,90,130,150,0
22,Snow Valley,California,7841,1041,0,0,0,0,0,5,6,1,12,28,6,1,240,188,111,82,160,69,79,143,164,0
23,Soda Springs,California,7352,652,0,0,0,0,0,1,1,2,4,18,0,0,200,20,150,83,400,50,50,144,0,0
24,Sugar Bowl Resort,California,8383,1500,1,0,0,5,3,1,0,2,12,105,3,3,1650,375,151,80,500,125,125,150,0,0
25,Tahoe Donner,California,7350,600,0,0,0,0,1,1,0,3,5,14,2,1,120,175,150,48,400,69,69,144,0,0
26,Arapahoe Basin Ski Area,Colorado,13050,2530,0,0,0,1,2,1,2,3,9,145,3,2,1428,125,230,73,350,85,85,233,0,0
27,Aspen / Snowmass,Colorado,12510,4406,3,0,1,15,4,3,5,9,40,336,10,5,5517,658,138,72,300,179,179,138,0,0
28,Beaver Creek,Colorado,11440,3340,2,0,0,11,0,1,1,9,24,150,3,3,1832,650,145,39,323,91,91,138,0,0
29,Breckenridge,Colorado,12998,3398,1,0,5,6,0,1,6,15,34,187,4,4,2908,600,182,58,300,91,91,163,0,0
30,Copper Mountain Resort,Colorado,12313,2738,1,0,2,4,0,4,4,9,24,150,6,2,2527,364,164,47,300,158,158,164,0,0
31,Crested Butte Mountain Resort,Colorado,12162,3062,0,0,0,4,2,2,1,5,14,121,4,3,1547,297,145,58,234,91,91,131,0,0
32,Purgatory,Colorado,10822,2029,0,0,1,2,0,3,3,3,12,101,9,1,1605,250,130,54,260,89,89,130,0,0
33,Eldora Mountain Resort,Colorado,10600,1400,0,0,1,0,2,1,3,3,10,65,8,3,680,680,147,57,311,91,91,150,0,0
34,Howelsen Hill,Colorado,7136,440,0,0,0,0,0,0,1,3,4,17,1,6,50,25,100,104,150,25,25,100,10,0
35,Keystone,Colorado,12408,3128,2,0,2,4,1,1,2,8,20,128,1,4,3148,662,184,49,235,91,91,184,288,0
36,Loveland,Colorado,13010,2210,0,0,0,1,3,3,2,1,10,94,1,2,1800,240,205,82,422,79,79,184,0,0
37,Monarch Mountain,Colorado,11952,1162,0,0,0,0,1,0,4,2,7,64,2,1,800,175,143,80,350,89,89,136,0,0
38,Powderhorn,Colorado,9850,1650,0,0,0,1,0,0,2,2,5,42,2,2,1600,42,111,53,250,71,71,110,0,0
39,Silverton Mountain,Colorado,13487,3087,0,0,0,0,0,0,1,0,1,1748,0,2,26819,175,175,17,400,79,79,181,0,2
40,Cooper,Colorado,11700,1200,0,0,0,0,0,1,1,2,4,41,1,1,400,175,130,74,260,56,56,130,0,0
41,Ski Granby Ranch,Colorado,9202,1000,0,0,0,2,0,1,1,1,5,40,1,1,406,170,116,36,220,84,84,92,100,0
42,Steamboat,Colorado,10568,3668,1,0,1,6,0,5,2,3,18,169,4,3,2965,375,145,56,336,91,91,145,30,0
43,Sunlight Mountain Resort,Colorado,9895,2010,0,0,0,0,0,1,2,0,3,67,1,2,680,30,100,53,250,65,65,135,0,0
44,Telluride,Colorado,13150,4425,2,0,0,6,1,2,2,4,17,148,3,5,2000,220,131,47,280,139,139,137,0,0
45,Vail,Colorado,11570,3450,2,0,3,15,1,1,0,9,31,195,3,4,5289,461,149,57,354,91,91,142,0,0
46,Winter Park Resort,Colorado,12060,3060,1,0,2,7,0,4,6,5,25,166,7,5,3081,313,158,79,360,91,91,151,0,0
47,Wolf Creek Ski Area,Colorado,11904,1604,0,0,0,3,1,2,1,3,10,120,0,2,1600,5,130,80,430,72,72,150,0,0
48,Mohawk Mountain,Connecticut,1600,650,0,0,0,0,0,5,0,3,8,25,0,2,107,100,110,72,92,30,65,110,64,1
49,Mount Southington Ski Area,Connecticut,525,425,0,0,0,0,0,2,2,3,7,14,2,0,51,51,63,55,80,60,60,95,51,1
50,Powder Ridge Park,Connecticut,720,550,0,0,0,0,0,1,2,2,5,19,4,0,80,68,80,60,80,45,55,100,40,1
51,Ski Sundown,Connecticut,1075,625,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,50,45,62,62,95,66,1
52,Woodbury Ski Area,Connecticut,730,300,0,0,0,0,0,0,1,4,5,12,2,0,50,50,126,57,70,42,42,180,35,1
53,Bogus Basin,Idaho,7582,1800,0,0,0,3,0,1,3,4,11,91,3,2,2600,175,134,77,250,64,64,130,165,0
54,Brundage Mountain Resort,Idaho,7640,1800,0,0,0,1,0,4,0,1,6,51,2,3,1920,2,126,58,320,70,70,126,0,0
55,Kelly Canyon Ski Area,Idaho,6600,1000,0,0,0,0,0,0,4,2,6,51,1,1,740,175,115,62,200,57,42,120,0,0
56,Lookout Pass Ski Area,Idaho,5650,1150,0,0,0,0,0,1,3,0,4,35,2,2,540,175,113,84,400,44,47,140,0,0
57,Magic Mountain Ski Area,Idaho,7200,700,0,0,0,0,0,0,1,2,3,11,0,2,280,175,65,81,180,32,32,70,0,0
58,Pebble Creek Ski Area,Idaho,8560,2200,0,0,0,0,0,3,0,0,3,54,2,1,1100,30,85,70,250,47,47,91,30,0
59,Pomerelle Mountain Resort,Idaho,9000,1000,0,0,0,0,0,1,1,1,3,24,2,2,500,50,138,56,500,57,56,138,100,0
60,Schweitzer,Idaho,6400,2400,0,0,1,2,0,1,3,2,9,92,3,2,2900,47,136,56,300,81,81,136,100,0
61,Silver Mountain,Idaho,6300,2200,1,0,0,0,1,2,2,1,7,80,2,2,1600,225,130,29,300,57,62,193,20,0
62,Soldier Mountain Ski Area,Idaho,7200,1400,0,0,0,0,0,0,2,1,3,36,0,0,1142,175,60,71,185,43,43,60,0,0
63,Sun Valley,Idaho,9150,3400,1,0,0,9,0,3,2,3,18,120,7,3,2054,645,149,83,220,57,56,137,0,0
64,Tamarack Resort,Idaho,7700,2800,0,0,0,2,2,0,0,2,6,48,3,2,1020,200,150,15,300,71,71,150,0,0
65,Chestnut Mountain Resort,Illinois,1040,475,0,0,0,0,2,4,0,3,9,22,3,0,139,139,87,60,50,40,55,112,139,1
66,Four Lakes,Illinois,500,100,0,0,0,0,0,0,0,7,7,7,1,0,9,9,78,58,24,35,43,70,9,1
67,Ski Snowstar Winter Sports Park,Illinois,790,262,0,0,0,0,2,0,2,2,6,15,1,1,28,28,56,38,38,25,35,86,28,1
68,Villa Olivia,Illinois,500,180,0,0,0,0,1,0,0,6,7,7,1,0,15,15,70,53,25,40,40,70,15,1
69,Paoli Peaks,Indiana,900,300,0,0,0,1,1,3,1,2,8,15,2,0,65,65,75,41,18,38,45,80,65,1
70,Perfect North Slopes,Indiana,800,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,39,24,52,52,90,100,1
71,Mt. Crescent Ski Area,Iowa,1500,300,0,0,0,0,1,0,1,0,2,11,1,0,50,50,115,58,30,29,39,120,50,1
72,Seven Oaks,Iowa,975,275,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,22,40,40,40,100,35,1
73,Sundown Mountain,Iowa,1059,475,0,0,0,0,1,1,2,2,6,21,2,1,55,55,115,46,45,38,46,120,55,1
74,Big Squaw Mountain Ski Resort,Maine,3200,660,0,0,0,0,0,1,0,0,1,29,0,1,445,175,67,6,185,30,30,58,0,1
75,Camden Snow Bowl,Maine,1080,850,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,83,69,33,43,70,48,1
76,Lost Valley,Maine,495,240,0,0,0,0,0,0,2,2,4,22,2,0,45,45,87,58,50,29,55,104,45,1
77,Mt. Abram Ski Resort,Maine,2250,1150,0,0,0,0,0,0,2,3,5,54,1,0,640,175,120,59,125,29,49,120,0,1
78,Mt. Jefferson,Maine,753,432,0,0,0,0,0,0,0,3,3,10,0,0,12,175,115,19,185,52,61,120,0,1
79,New Hermon Mountain,Maine,450,350,0,0,0,0,0,0,1,2,3,20,0,2,70,70,102,55,90,32,32,117,45,1
80,Shawnee Peak,Maine,1900,1350,0,0,0,0,1,2,1,2,6,43,3,1,239,234,97,81,110,55,75,103,110,1
81,Sugarloaf,Maine,4237,2820,0,0,0,2,3,1,5,2,13,162,4,4,1240,618,159,68,200,99,99,155,0,1
82,Sunday River,Maine,3140,2340,1,0,0,4,5,3,1,1,15,135,5,3,870,552,165,60,167,105,105,169,140,1
83,Wisp,Maryland,3115,700,0,0,0,0,2,5,0,5,12,34,3,2,172,118,121,64,100,59,79,120,118,1
84,Berkshire East,Massachusetts,1720,1180,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,68,120,48,68,120,80,1
85,Blandford Ski Area,Massachusetts,1685,465,0,0,0,0,0,0,3,2,5,29,2,0,132,70,115,83,50,20,45,120,70,1
86,Blue Hills Ski Area,Massachusetts,635,309,0,0,0,0,0,0,1,3,4,16,1,1,60,60,115,19,185,40,45,120,0,1
87,Bousquet Ski Area,Massachusetts,1875,750,0,0,0,0,0,0,3,2,5,23,1,1,200,98,115,19,83,25,49,120,100,1
88,Bradford Ski Area,Massachusetts,1548,248,0,0,0,0,0,2,0,8,10,15,1,0,48,48,115,71,185,37,55,120,0,1
89,Jiminy Peak,Massachusetts,2380,1150,0,0,1,0,2,3,1,2,9,45,3,2,167,163,121,71,90,81,81,120,104,1
90,Nashoba Valley,Massachusetts,440,240,0,0,0,0,0,3,1,7,11,17,2,0,52,52,112,55,55,48,58,126,52,1
91,Otis Ridge Ski Area,Massachusetts,1700,400,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,73,70,20,40,106,35,1
92,Ski Butternut,Massachusetts,1800,1000,0,0,0,0,3,1,1,6,11,22,2,2,110,110,107,56,115,25,60,110,0,1
93,Ski Ward,Massachusetts,420,210,0,0,0,0,0,1,0,3,4,11,1,0,45,45,105,50,80,41,57,120,38,1
94,Wachusett Mountain Ski Area,Massachusetts,2006,1000,0,0,0,3,0,1,0,4,8,27,2,2,112,112,120,57,100,65,71,120,104,1
95,Alpine Valley Ski Area,Michigan,500,240,0,0,0,0,1,2,5,6,14,25,3,0,100,100,115,57,20,39,47,120,100,1
96,Apple Mountain,Michigan,820,220,0,0,0,0,1,0,0,5,6,12,0,1,80,42,115,58,52,35,35,120,80,1
97,Big Powderhorn Mountain,Michigan,1800,600,0,0,0,0,0,0,9,1,10,45,2,1,253,228,100,55,214,69,69,108,0,1
98,Bittersweet Ski Area,Michigan,850,350,0,0,0,0,1,7,0,4,12,20,2,0,100,100,80,36,90,38,48,80,100,1
99,Big Snow Resort - Blackjack,Michigan,850,465,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,42,210,49,65,115,0,1
100,Boyne Highlands,Michigan,1290,552,0,0,0,1,3,4,0,2,10,55,4,1,435,400,97,56,140,78,98,120,150,1
101,Boyne Mountain Resort,Michigan,1120,500,0,0,1,0,4,3,2,2,12,60,7,1,415,380,122,71,140,45,53,130,200,1
102,Caberfae Peaks,Michigan,1569,485,0,0,0,0,1,2,1,1,5,34,2,1,200,200,118,82,140,39,49,130,150,1
103,Cannonsburg,Michigan,1100,250,0,0,0,0,1,1,1,7,10,21,5,0,100,175,100,54,100,30,37,100,0,1
104,Crystal Mountain,Michigan,1132,375,0,0,0,1,3,2,0,2,8,58,3,0,102,96,120,63,132,54,64,135,56,1
105,Big Snow Resort - Indianhead Mountain,Michigan,1935,638,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,60,204,49,49,120,0,1
106,Marquette Mountain,Michigan,1357,600,0,0,0,0,0,1,2,1,4,35,3,1,169,143,139,60,210,45,53,135,89,1
107,Mont Ripley,Michigan,1140,440,0,0,0,0,0,0,2,2,4,25,2,1,112,112,114,83,275,49,49,100,100,1
108,Mount Bohemia,Michigan,1500,900,0,0,0,0,0,1,1,0,2,38,0,2,585,175,83,19,273,68,68,100,0,1
109,Mt. Brighton,Michigan,1330,230,0,0,0,0,2,3,0,8,13,25,5,0,130,130,111,59,60,52,59,100,130,1
110,Mt. Holiday Ski Area,Michigan,440,200,0,0,0,0,0,0,2,2,4,12,0,0,45,45,100,70,120,22,34,90,45,1
111,Mount Holly,Michigan,1105,350,0,0,0,1,2,3,1,6,13,19,0,0,100,100,102,63,42,37,45,102,100,1
112,Mulligan's Hollow Ski Bowl,Michigan,700,130,0,0,0,0,0,0,0,5,5,6,0,0,10,10,115,19,60,15,20,120,10,1
113,Norway Mountain,Michigan,1335,500,0,0,0,0,0,1,2,3,6,17,1,1,186,186,110,45,100,45,45,110,40,1
114,Nubs Nob Ski Area,Michigan,1338,427,0,0,0,0,3,4,2,1,10,53,3,1,248,248,133,61,135,65,85,130,160,1
115,Pine Knob Ski Resort,Michigan,1308,300,0,0,0,0,0,0,0,6,6,14,3,1,80,80,115,2019,185,49,57,120,0,1
116,Pine Mountain,Michigan,1650,500,0,0,0,0,0,1,2,1,4,28,1,0,160,160,110,80,60,45,45,126,80,1
117,Schuss Mountain at Shanty Creek,Michigan,1125,450,0,0,0,0,5,0,0,3,8,42,3,1,70,70,94,57,160,58,78,111,70,1
118,Ski Brule,Michigan,1860,500,0,0,0,0,0,0,5,7,12,17,3,1,150,150,164,62,150,49,49,165,40,1
119,Snow Snake Mountain Ski Area,Michigan,1230,210,0,0,0,0,0,1,0,5,6,12,2,0,40,40,115,72,185,30,35,120,40,1
120,Swiss Valley,Michigan,1200,225,0,0,0,0,2,1,0,4,7,11,2,0,60,60,89,51,60,32,42,80,60,1
121,The Homestead,Michigan,900,320,0,0,0,0,0,2,1,2,5,15,1,0,16,16,47,34,150,50,50,42,16,1
122,Timber Ridge,Michigan,850,250,0,0,0,0,1,1,2,4,8,16,2,0,50,50,80,58,185,35,45,80,50,1
123,Treetops Resort,Michigan,1345,225,0,0,0,0,0,3,0,2,5,23,3,0,80,80,63,65,175,45,53,101,80,1
124,Afton Alps,Minnesota,1530,350,0,0,0,0,1,3,14,4,22,48,5,0,250,250,135,56,60,55,60,135,250,1
125,Andes Tower Hills Ski Area,Minnesota,1620,290,0,0,0,0,1,2,0,3,6,15,2,0,35,35,100,38,55,45,45,110,35,1
126,Buck Hill,Minnesota,1225,309,0,0,0,0,2,1,0,5,8,16,0,0,45,45,115,65,60,34,47,112,45,1
127,Buena Vista Ski Area,Minnesota,1510,230,0,0,0,0,0,2,2,2,6,17,0,0,30,30,57,70,78,44,44,60,30,1
128,Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,39,48,23,37,56,35,1
129,Elm Creek Winter Recreation Area,Minnesota,928,60,0,0,0,0,0,0,0,3,3,3,0,1,15,20,105,13,45,17,17,102,15,1
130,Giants Ridge Resort,Minnesota,1972,500,0,0,0,1,1,1,2,2,7,35,2,1,202,202,120,35,85,49,58,125,121,1
131,Hyland Ski & Snowboard Area,Minnesota,1075,175,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,61,55,35,35,115,35,1
132,Lutsen Mountains,Minnesota,1688,825,1,0,1,0,0,1,4,1,8,62,2,2,393,231,135,71,120,84,84,127,0,1
133,Mount Kato Ski Area,Minnesota,540,240,0,0,0,0,5,0,3,2,10,19,4,1,55,55,115,43,50,34,46,120,50,1
134,Powder Ridge Ski Area,Minnesota,790,300,0,0,0,0,1,0,2,3,6,15,4,1,60,60,97,58,45,36,48,113,60,1
135,Spirit Mountain,Minnesota,1320,700,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,45,100,59,59,125,144,1
136,Welch Village,Minnesota,1060,360,0,0,0,0,3,1,4,2,10,50,1,1,125,125,114,54,45,54,60,122,100,1
137,Wild Mountain Ski & Snowboard Area,Minnesota,1113,300,0,0,0,0,4,0,0,4,8,26,4,1,100,100,130,47,50,55,55,140,100,1
138,Hidden Valley Ski Area,Missouri,2566,310,0,0,0,0,2,2,0,3,7,17,0,0,30,30,115,37,26,49,49,120,17,1
139,Snow Creek,Missouri,1100,300,0,0,0,0,0,2,1,2,5,14,2,0,30,30,69,33,20,37,47,85,30,1
140,Big Sky Resort,Montana,11166,4350,1,1,2,5,3,7,5,12,36,317,8,6,5800,400,144,46,400,52,52,144,0,0
141,Blacktail Mountain Ski Area,Montana,6676,1440,0,0,0,0,0,1,2,1,4,27,0,1,1000,175,115,21,250,42,42,120,0,0
142,Bridger Bowl,Montana,8700,2600,0,0,0,0,1,6,1,3,11,105,2,2,2000,100,122,64,350,63,63,133,0,0
143,Discovery Ski Area,Montana,8150,2380,0,0,0,0,0,5,2,1,8,74,1,2,2400,25,116,46,225,49,49,116,0,0
144,Great Divide,Montana,7330,1580,0,0,0,0,0,0,5,1,6,110,6,3,1600,150,94,78,180,48,48,100,100,0
145,Lost Trail - Powder Mtn,Montana,8200,1800,0,0,0,0,0,0,5,3,8,69,2,2,1800,175,84,81,325,46,46,80,0,0
146,Maverick Mountain,Montana,8520,2020,0,0,0,0,0,0,1,1,2,22,0,1,255,175,115,83,160,39,39,120,0,0
147,Montana Snowbowl,Montana,7600,2600,0,0,0,0,0,0,2,2,4,37,0,1,950,20,115,58,300,50,50,120,10,0
148,Red Lodge Mountain,Montana,9416,2400,0,0,0,2,0,1,3,1,7,70,2,2,1635,496,142,59,250,67,67,136,0,0
149,Showdown Montana,Montana,8200,1400,0,0,0,0,0,1,2,1,4,36,1,2,640,175,86,83,250,47,47,85,0,0
150,Teton Pass Ski Resort,Montana,7200,1010,0,0,0,0,0,0,1,2,3,43,1,3,330,175,40,54,250,39,39,150,0,0
151,Whitefish Mountain Resort,Montana,6817,2353,0,0,0,3,2,6,0,3,14,105,4,3,3000,600,123,72,333,81,81,123,600,0
152,Diamond Peak,Nevada,8540,1840,0,0,0,1,2,0,3,1,7,30,3,2,655,492,100,53,300,89,99,122,0,0
153,Elko SnoBowl,Nevada,7000,700,0,0,0,0,0,0,1,1,2,10,0,1,60,2,19,23,24,20,20,30,0,0
154,Lee Canyon,Nevada,11289,860,0,0,0,0,2,1,0,0,3,24,1,0,195,50,144,56,161,70,70,150,0,0
155,Mt. Rose - Ski Tahoe,Nevada,9700,1800,0,0,2,0,2,2,0,2,8,65,5,2,1200,330,152,55,350,135,135,150,0,0
156,Attitash,New Hampshire,2350,1750,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,54,120,79,89,130,0,1
157,Black Mountain,New Hampshire,2350,1100,0,0,0,0,0,1,1,3,5,45,0,2,143,120,110,84,125,45,59,107,0,1
158,Bretton Woods,New Hampshire,3100,1500,0,0,0,4,1,1,0,3,9,63,2,2,464,427,180,46,200,85,99,180,45,1
159,Cannon Mountain,New Hampshire,4080,2180,1,0,0,1,2,3,1,3,11,97,3,2,285,192,124,81,160,79,79,143,0,1
160,Cranmore Mountain Resort,New Hampshire,2000,1200,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,82,150,66,76,128,0,1
161,Crotched Mountain,New Hampshire,2066,1016,0,0,0,1,1,1,1,1,5,25,3,1,100,100,105,16,105,55,69,100,100,1
162,Dartmouth Skiway,New Hampshire,1943,969,0,0,0,0,1,0,1,2,4,28,1,1,107,54,104,63,100,50,50,105,0,1
163,Gunstock,New Hampshire,2300,1400,0,0,0,1,2,2,0,1,6,55,4,2,227,176,106,82,120,80,92,106,60,1
164,King Pine,New Hampshire,850,350,0,0,0,0,0,3,0,3,6,17,2,0,48,45,105,57,120,42,58,107,23,1
165,Loon Mountain,New Hampshire,3050,2100,1,0,0,3,1,1,3,2,11,61,6,2,370,322,149,53,160,66,76,144,0,1
166,Mount Sunapee,New Hampshire,2743,1510,0,0,0,2,1,2,1,4,10,66,4,1,232,215,130,71,100,83,93,136,0,1
167,Pats Peak,New Hampshire,1460,770,0,0,0,0,0,4,2,5,11,28,3,2,115,115,109,56,100,58,72,112,93,1
168,Ragged Mountain Resort,New Hampshire,2250,1250,0,0,1,1,0,1,0,3,6,57,3,1,250,200,140,54,100,74,84,140,0,1
169,Waterville Valley,New Hampshire,4004,2020,0,0,0,2,0,2,3,4,11,62,4,2,265,220,142,54,148,79,93,142,0,1
170,Whaleback Mountain,New Hampshire,1800,700,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,64,110,30,45,105,55,1
171,Wildcat Mountain,New Hampshire,4062,2112,0,0,0,1,0,3,0,1,5,48,0,3,225,200,156,61,200,79,89,150,0,1
172,Campgaw Mountain,New Jersey,726,274,0,0,0,0,0,0,2,3,5,12,1,0,23,23,80,58,45,80,80,80,14,1
173,Mountain Creek Resort,New Jersey,1480,1040,1,0,0,2,2,1,1,3,10,46,3,2,167,167,90,54,65,80,80,100,167,1
174,Angel Fire Resort,New Mexico,10677,2077,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,53,210,77,77,101,50,0
175,Enchanted Forest Ski Area,New Mexico,10078,400,0,0,0,0,0,0,0,0,0,33,0,2,600,175,130,34,240,20,20,140,0,0
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,0,0,0,0,1,1,3,1,6,45,2,1,750,35,89,62,163,49,49,117,0,0
177,Red River,New Mexico,10350,1600,0,0,0,0,1,3,1,2,7,63,3,2,209,175,110,60,214,79,79,110,0,0
178,Sandia Peak,New Mexico,10378,1700,0,0,0,0,0,0,4,1,5,39,1,2,200,30,32,82,100,55,55,38,0,0
179,Sipapu Ski Resort,New Mexico,9255,1055,0,0,0,0,1,2,0,3,6,42,4,0,200,140,127,67,190,47,47,143,0,0
180,Ski Apache,New Mexico,11500,1900,1,0,0,0,2,6,0,2,11,55,3,2,750,270,133,58,185,74,74,124,0,0
181,Ski Santa Fe,New Mexico,12075,1725,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,73,225,80,80,130,0,0
182,Taos Ski Valley,New Mexico,12481,3281,1,0,0,1,3,4,1,4,14,111,1,5,1294,647,137,64,300,110,110,136,0,0
183,Belleayre,New York,3429,1404,1,0,0,1,1,1,2,2,8,50,2,2,175,168,154,70,130,60,72,150,0,1
184,Brantling Ski Slopes,New York,850,250,0,0,0,0,0,0,0,5,5,10,0,0,20,16,115,19,110,32,32,120,0,1
185,Bristol Mountain,New York,2200,1200,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,55,60,65,76,129,154,1
186,Buffalo Ski Club Ski Area,New York,3429,500,0,0,0,0,0,0,2,4,6,43,1,1,225,150,115,12,185,35,50,120,100,1
187,Catamount,New York,2000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,80,108,38,69,90,55,1
188,Dry Hill Ski Area,New York,950,300,0,0,0,0,0,0,1,2,3,7,1,0,35,26,115,55,125,50,35,120,26,1
189,Gore Mountain,New York,3600,2537,1,0,0,2,2,3,2,4,14,110,7,4,439,338,142,55,150,80,88,142,15,1
190,Greek Peak,New York,2100,952,0,0,0,0,1,1,4,2,8,56,4,2,220,184,110,62,122,49,63,113,175,1
191,Holiday Mountain,New York,1550,400,0,0,0,0,1,0,1,2,4,9,0,0,37,37,75,60,50,27,42,85,37,1
192,Holiday Valley,New York,2250,750,0,0,0,3,8,0,0,2,13,60,5,1,290,266,116,62,180,65,78,129,189,1
193,Holimont Ski Area,New York,2260,700,0,0,0,1,1,2,3,1,8,53,3,2,135,135,110,57,180,62,75,119,0,1
194,Hunt Hollow Ski Club,New York,2030,825,0,0,0,0,0,1,1,1,3,19,1,1,400,400,75,52,130,48,58,75,400,1
195,Hunter Mountain,New York,3200,1600,0,0,2,1,2,2,2,4,13,67,4,2,320,320,148,59,120,79,89,155,0,1
196,Kissing Bridge,New York,1700,550,0,0,0,0,2,1,4,3,10,39,5,0,700,550,103,59,120,40,60,100,650,1
197,Labrador Mt.,New York,1825,700,0,0,0,0,0,1,2,1,4,23,1,1,250,237,100,62,125,59,59,100,180,1
198,Maple Ski Ridge,New York,1200,450,0,0,0,0,0,1,1,1,3,10,0,0,25,25,115,57,185,26,38,120,20,1
199,McCauley Mountain Ski Center,New York,2250,633,0,0,0,0,0,0,1,4,5,23,1,0,70,55,105,61,200,20,30,105,0,1
200,Mount Peter Ski Area,New York,1250,450,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,83,50,35,54,100,69,1
201,Oak Mountain,New York,2400,650,0,0,0,0,1,0,0,3,4,22,1,1,46,18,115,71,120,40,40,120,12,1
202,Peek'n Peak,New York,1800,400,0,0,0,0,0,8,0,2,10,27,4,2,110,110,110,55,225,49,63,110,110,1
203,Plattekill Mountain,New York,3500,1100,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,26,175,50,67,65,0,1
204,Royal Mountain Ski Area,New York,1800,550,0,0,0,0,0,0,3,0,3,14,0,0,35,28,115,63,90,45,45,120,0,1
